19274,# doc = MVI_1618.2.txt,,,,,,,,,,,,,,,,
19275,# speaker = Ольга,,,,,,,,,,,,,,,,
19276,# sent = 1426,,,,,,,,,,,,,,,,
19739,,наверное,НАВЕРНОЕ,ADV -,,,"это был , _наверное_ , единственный случай",е,о,н,р,е,в,ADV,НАВЕРНОЕ,ADV -,Е
19740,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19741,,единственный,ЕДИНСТВЕННЫЙ,A - nom sg plen m -,,,", наверное , _единственный_ случай , когда",й,ы,н,н,е,в,A,ЕДИНСТВЕННЫЙ,A - nom sg plen m -,Й
19742,,случай,СЛУЧАЙ,S m inan nom sg,,,"наверное , единственный _случай_ , когда я",й,а,ч,у,л,с,S,СЛУЧАЙ,S m inan nom sg,Й
19743,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19744,,когда,КОГДА,CONJ,,,"единственный случай , _когда_ я чувствовала себя",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
19745,,я,Я,SPRO sg 1p - nom,,,"случай , когда _я_ чувствовала себя ммм",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
19746,,чувствовала,ЧУВСТВОВАТЬ,V ipf praet sg indic f -,,,", когда я _чувствовала_ себя ммм заморской",а,л,а,в,о,в,V,ЧУВСТВОВАТЬ,V ipf praet sg indic f -,Ь
19747,,себя,СЕБЯ,SPRO - - - acc,,,когда я чувствовала _себя_ ммм заморской зверюшкой,я,б,е,с,,,SPRO,СЕБЯ,SPRO - - - acc,Я
19748,,ммм,МММ,INTJ,,,"я чувствовала себя _ммм_ заморской зверюшкой ,",м,м,м,,,,S,МММ,S n inan loc sg,М
19749,,заморской,ЗАМОРСКИЙ,A - ins sg f -,,,"чувствовала себя ммм _заморской_ зверюшкой , которую",й,о,к,с,р,о,A,ЗАМОРСКИЙ,A - gen sg plen f -,Й
19750,,зверюшкой,ЗВЕРЮШКА,S - f anim ins sg,,,"себя ммм заморской _зверюшкой_ , которую посадили",й,о,к,ш,ю,р,S,ЗВЕРЮШКА,S - anim ins sg,А
19751,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19752,,которую,КОТОРЫЙ,APRO - acc sg plen f -,,,"заморской зверюшкой , _которую_ посадили в клетку",ю,у,р,о,т,о,APRO,КОТОРЫЙ,A - acc sg plen f -,Й
19753,,посадили,ПОСАДИТЬ,V pf praet sg indic f -,,,"зверюшкой , которую _посадили_ в клетку и",и,л,и,д,а,с,V,ПОСАДИТЬ,V pf praet pl indic - -,Ь
19754,,в,В,PR,,,", которую посадили _в_ клетку и вот",в,,,,,,PR,В,PR,В
19755,,клетку,КЛЕТКА,S f inan acc sg,,,которую посадили в _клетку_ и вот эм,у,к,т,е,л,к,S,КЛЕТКА,S f inan acc sg,А
19756,,и,И,CONJ,,,посадили в клетку _и_ вот эм не,и,,,,,,CONJ,И,CONJ,И
19757,,вот,ВОТ,PART,,,в клетку и _вот_ эм не знают,т,о,в,,,,PART,ВОТ,PART,Т
19758,,эм,ЭМ,INTJ,,,"клетку и вот _эм_ не знают ,",м,э,,,,,INTJ,ЭМ,S n inan nonflex -,М
19759,,не,НЕ,PART,,,"и вот эм _не_ знают ,",е,н,,,,,PART,НЕ,PART,Е
19760,,знают,ЗНАТЬ,V ipf praes pl indic - 3p,,,"вот эм не _знают_ , че",т,ю,а,н,з,,V,ЗНАТЬ,V ipf praes pl indic - 3p,Ь
19761,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19762,"<distinct form=""",,,,,,,,,,,,,,,,
19763,<dist>,че,,,,,,,,,,,,,,,
19764,""">",,,,,,,,,,,,,,,,
19765,,что,ЧТО,CONJ,,,че _что_ с ней,о,т,ч,,,,CONJ,ЧТО,CONJ,О
19766,</distinct>,,,,,,,,,,,,,,,,
19767,,с,С,PR,,,что _с_ ней делать .,с,,,,,,PR,С,PR,С
19768,,ней,ОНА,SPRO sg 3p f ins,,,что с _ней_ делать .,й,е,н,,,,SPRO,ОНА,SPRO sg 3p f loc,А
19769,,делать,ДЕЛАТЬ,V ipf - - inf - -,,,с ней _делать_ .,ь,т,а,л,е,д,V,ДЕЛАТЬ,V ipf - - inf - -,Ь
19770,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19771,,,,,,,,,,,,,,,,,
19772,# sent = 1441,,,,,,,,,,,,,,,,
19773,,Они,ОНИ,SPRO pl - - nom,,,. _Они_ подходили к нам,и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,И
19774,,подходили,ПОДХОДИТЬ,V ipf praet pl indic - -,,,"Они _подходили_ к нам ,",и,л,и,д,о,х,V,ПОДХОДИТЬ,V ipf praet pl indic - -,Ь
19775,,к,К,PR,,,"Они подходили _к_ нам , они",к,,,,,,PR,К,PR,К
19776,,нам,МЫ,SPRO pl 1p - dat,,,"Они подходили к _нам_ , они ммм",м,а,н,,,,SPRO,МЫ,SPRO pl 1p - dat,Ы
19777,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19778,,они,ОНИ,SPRO pl - - nom,,,"к нам , _они_ ммм пытались нас",и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,И
19779,,ммм,МММ,INTJ,,,"нам , они _ммм_ пытались нас потрогать",м,м,м,,,,S,МММ,S n inan loc sg,М
19780,,пытались,ПЫТАТЬСЯ,V ipf praet pl indic - -,,,", они ммм _пытались_ нас потрогать ,",ь,с,и,л,а,т,V,ПЫТАТЬСЯ,V ipf praet pl indic - -,Я
19781,,нас,МЫ,SPRO pl 1p - acc,,,"они ммм пытались _нас_ потрогать , а",с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
19782,,потрогать,ПОТРОГАТЬ,V pf - - inf - -,,,"ммм пытались нас _потрогать_ , а самая",ь,т,а,г,о,р,V,ПОТРОГАТЬ,V pf - - inf - -,Ь
19783,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19784,,а,А,CONJ,,,"нас потрогать , _а_ самая храбрая девочка",а,,,,,,CONJ,А,CONJ,А
19785,,самая,САМЫЙ,APRO - nom sg f -,,,"потрогать , а _самая_ храбрая девочка даже",я,а,м,а,с,,A,САМЫЙ,A - nom sg plen f -,Й
19786,,храбрая,ХРАБРЫЙ,A - nom sg plen f -,,,", а самая _храбрая_ девочка даже подошла",я,а,р,б,а,р,A,ХРАБРЫЙ,A - nom sg plen f -,Й
19787,,девочка,ДЕВОЧКА,S f anim nom sg,,,а самая храбрая _девочка_ даже подошла и,а,к,ч,о,в,е,S,ДЕВОЧКА,S f anim nom sg,А
19788,,даже,ДАЖЕ,PART,,,самая храбрая девочка _даже_ подошла и вот,е,ж,а,д,,,PART,ДАЖЕ,CONJ,Е
19789,,подошла,ПОДОЙТИ,V pf praet sg indic f -,,,храбрая девочка даже _подошла_ и вот ммм,а,л,ш,о,д,о,V,ПОДОЙТИ,V pf praet sg indic f -,И
19790,,и,И,CONJ,,,"девочка даже подошла _и_ вот ммм ,",и,,,,,,CONJ,И,CONJ,И
19791,,вот,ВОТ,PART,,,"даже подошла и _вот_ ммм , кокетничая",т,о,в,,,,PART,ВОТ,PART,Т
19792,,ммм,МММ,INTJ,,,"подошла и вот _ммм_ , кокетничая ,",м,м,м,,,,S,МММ,S n inan loc sg,М
19793,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19794,,кокетничая,КОКЕТНИЧАТЬ,V ipf praes - ger - -,,,"вот ммм , _кокетничая_ , попыталась с",я,а,ч,и,н,т,V,КОКЕТНИЧАТЬ,V ipf praes - ger - -,Ь
19795,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19796,,попыталась,ПОПЫТАТЬСЯ,V pf praet sg indic f -,,,", кокетничая , _попыталась_ с нами заговорить",ь,с,а,л,а,т,V,ПОПЫТАТЬСЯ,V pf praet sg indic f -,Я
19797,,с,С,PR,,,"кокетничая , попыталась _с_ нами заговорить ,",с,,,,,,PR,С,PR,С
19798,,нами,МЫ,SPRO pl 1p - ins,,,", попыталась с _нами_ заговорить , там",и,м,а,н,,,SPRO,МЫ,SPRO pl 1p - ins,Ы
19799,,заговорить,ЗАГОВОРИТЬ,V pf - - inf - -,,,"попыталась с нами _заговорить_ , там сказав",ь,т,и,р,о,в,V,ЗАГОВОРИТЬ,V pf - - inf - -,Ь
19800,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19801,,там,ТАМ,PART,,,"нами заговорить , _там_ сказав , ее",м,а,т,,,,PART,ТАМ,PART,М
19802,,сказав,СКАЗАТЬ,V pf praet - ger - -,,,"заговорить , там _сказав_ , ее так-то",в,а,з,а,к,с,V,СКАЗАТЬ,V pf praet - ger - -,Ь
19803,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19804,,ее,ОНА,SPRO sg 3p f acc,,,"там сказав , _ее_ так-то зовут ,",е,е,,,,,SPRO,ОНА,SPRO sg 3p f acc,А
19805,,так-то,ТАК-ТО,ADVPRO-,,,"сказав , ее _так-то_ зовут , ей",о,т,-,к,а,т,PART,ТАК-ТО,PART,О
19806,,зовут,ЗВАТЬ,V ipf praes pl indic - 3p,,,", ее так-то _зовут_ , ей столько",т,у,в,о,з,,V,ЗВАТЬ,V ipf praes pl indic - 3p,Ь
19807,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19808,,ей,ОНА,SPRO sg 3p f dat,,,"так-то зовут , _ей_ столько - то",й,е,,,,,SPRO,ОНА,SPRO sg 3p f dat,А
19809,,столько,СТОЛЬКО,ADV-,слитно,,"зовут , ей _столько_ - то лет",о,к,ь,л,о,т,NUM,СТОЛЬКО,NUM acc - -,О
19810,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
19811,,то,ТО,PART,слитно,,"ей столько - _то_ лет , вот",о,т,,,,,PART,ТО,CONJ,О
19812,,лет,ГОД,S m inan gen pl,,,"столько - то _лет_ , вот ей",т,е,л,,,,S,ГОД,S m inan gen pl,Д
19813,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19814,,вот,ВОТ,PART,,,"то лет , _вот_ ей иии ,",т,о,в,,,,PART,ВОТ,PART,Т
19815,,ей,ОНА,SPRO sg 3p f dat,,,"лет , вот _ей_ иии , и",й,е,,,,,SPRO,ОНА,SPRO sg 3p f dat,А
19816,,иии,И,CONJ,distort,,", вот ей _иии_ , и в",и,и,и,,,,CONJ,ИИИ,S m inan gen sg,И
19817,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19818,,и,И,CONJ,,,"ей иии , _и_ в общем ммм",и,,,,,,CONJ,И,CONJ,И
19819,,в,В,PR,,,"иии , и _в_ общем ммм как",в,,,,,,PR,В,PR,В
19820,,общем,ОБЩИЙ,PARENTH-,,,", и в _общем_ ммм как вы",м,е,щ,б,о,,A,ОБЩИЙ,A - loc sg plen m -,Й
19821,,ммм,МММ,INTJ,,,и в общем _ммм_ как вы живете,м,м,м,,,,S,МММ,S n inan loc sg,М
19822,,как,КАК,ADV -,,,"в общем ммм _как_ вы живете ,",к,а,к,,,,ADV,КАК,ADV -,К
19823,,вы,ВЫ,SPRO pl 2p - nom,,,"общем ммм как _вы_ живете , она",ы,в,,,,,SPRO,ВЫ,SPRO pl 2p - nom,Ы
19824,,живете,ЖИТЬ,V ipf praes pl indic - 2p,,,"ммм как вы _живете_ , она попыталась",е,т,е,в,и,ж,V,ЖИТЬ,V ipf praes pl indic - 2p,Ь
19825,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19826,,она,ОНА,SPRO sg 3p f nom,,,"вы живете , _она_ попыталась сказать .",а,н,о,,,,SPRO,ОНА,SPRO sg 3p f nom,А
19827,,попыталась,ПОПЫТАТЬСЯ,V pf praet sg indic f -,,,"живете , она _попыталась_ сказать .",ь,с,а,л,а,т,V,ПОПЫТАТЬСЯ,V pf praet sg indic f -,Я
19828,,сказать,СКАЗАТЬ,V pf - - inf - -,,,", она попыталась _сказать_ .",ь,т,а,з,а,к,V,СКАЗАТЬ,V pf - - inf - -,Ь
19829,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19830,,,,,,,,,,,,,,,,,
19831,# sent = 1442,,,,,,,,,,,,,,,,
19832,,И,И,CONJ,,,. _И_ потом когда мы,и,,,,,,CONJ,И,CONJ,И
19833,,потом,ПОТОМ,ADV -,,,И _потом_ когда мы за,м,о,т,о,п,,ADV,ПОТОМ,ADV -,М
19834,,когда,КОГДА,CONJ,,,И потом _когда_ мы за ней,а,д,г,о,к,,CONJ,КОГДА,CONJ,А
19835,,мы,МЫ,SPRO pl 1p - nom,,,И потом когда _мы_ за ней наблюдали,ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
19836,,за,ЗА,PR,,,потом когда мы _за_ ней наблюдали со стороны,а,з,,,,,PR,ЗА,PR,А
19837,,ней,ОНА,SPRO sg 3p f ins,,,"когда мы за _ней_ наблюдали со стороны ,",й,е,н,,,,SPRO,ОНА,SPRO sg 3p f loc,А
19838,,наблюдали,НАБЛЮДАТЬ,V ipf praet pl indic - -,,,"мы за ней _наблюдали_ со стороны , было",и,л,а,д,ю,л,V,НАБЛЮДАТЬ,V ipf praet pl indic - -,Ь
19839,,со стороны,со стороны,PR,,,"за ней наблюдали _со стороны_ , было видно",ы,н,о,р,о,т,PR,со стороны,PR,ы
19840,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19841,,было,БЫТЬ,V ipf praet sg indic n -,,,"наблюдали со стороны , _было_ видно , что",о,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic n -,Ь
19842,,видно,ВИДНО,ADV -,,,"со стороны , было _видно_ , что она",о,н,д,и,в,,ADV,ВИДНО,ADV -,О
19843,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19844,,что,ЧТО,CONJ,,,"было видно , _что_ она была героиней",о,т,ч,,,,CONJ,ЧТО,CONJ,О
19845,,она,ОНА,SPRO sg 3p f nom,,,"видно , что _она_ была героиней в",а,н,о,,,,SPRO,ОНА,SPRO sg 3p f nom,А
19846,,была,БЫТЬ,V ipf praet sg indic f -,,,", что она _была_ героиней в ...",а,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic f -,Ь
19847,,героиней,ГЕРОИНЯ,S f anim ins sg,,,что она была _героиней_ в ... с,й,е,н,и,о,р,S,ГЕРОИНЯ,S f anim ins sg,Я
19848,,в,В,PR,,,она была героиней _в_ ... с .,в,,,,,,PR,В,PR,В
19849,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
19850,,с,С,PR,,,героиней в ... _с_ .,с,,,,,,PR,С,S - - nonflex -,С
19851,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19852,,,,,,,,,,,,,,,,,
19853,# sent = 1443,,,,,,,,,,,,,,,,
19854,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19855,,в,В,PR,,,. _в_ толпе своих школьников,в,,,,,,PR,В,PR,В
19856,,толпе,ТОЛПА,S f inan loc sg,,,". в _толпе_ своих школьников ,",е,п,л,о,т,,S,ТОЛПА,S f inan loc sg,А
19857,,своих,СВОЙ,APRO - gen pl plen - -,,,". в толпе _своих_ школьников , потому что",х,и,о,в,с,,APRO,СВОЙ,A - gen pl plen - -,Й
19858,,школьников,ШКОЛЬНИК,S m anim gen pl,,,"в толпе своих _школьников_ , потому что вот",в,о,к,и,н,ь,S,ШКОЛЬНИК,S m anim gen pl,К
19859,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19860,,потому что,потому что,CONJ,,,"своих школьников , _потому что_ вот плечи расправлены",о,т,ч,,у,м,CONJ,потому что,CONJ,о
19861,,вот,ВОТ,PART,,,"школьников , потому что _вот_ плечи расправлены ,",т,о,в,,,,PART,ВОТ,PART,Т
19862,,плечи,ПЛЕЧО,S n inan nom pl,,,", потому что вот _плечи_ расправлены , она",и,ч,е,л,п,,S,ПЛЕЧО,S n inan acc pl,О
19863,,расправлены,РАСПРАВИТЬ,PARTCP pf praet - pl brev - pass -,,,"потому что вот плечи _расправлены_ , она шествует",ы,н,е,л,в,а,PARTCP,РАСПРАВИТЬ,PARTCP pf praet - pl brev - pass -,Ь
19864,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19865,,она,ОНА,SPRO sg 3p f nom,,,"плечи расправлены , _она_ шествует важно ,",а,н,о,,,,SPRO,ОНА,SPRO sg 3p f nom,А
19866,,шествует,ШЕСТВОВАТЬ,V ipf praes sg indic - 3p,,,"расправлены , она _шествует_ важно , в",т,е,у,в,т,с,V,ШЕСТВОВАТЬ,V ipf praes sg indic - 3p,Ь
19867,,важно,ВАЖНО,ADV -,,,", она шествует _важно_ , в спокойствии",о,н,ж,а,в,,ADV,ВАЖНО,ADV -,О
19868,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19869,,в,В,PR,,,"шествует важно , _в_ спокойствии чинном ,",в,,,,,,PR,В,PR,В
19870,,спокойствии,СПОКОЙСТВИЕ,S n inan loc sg,,,"важно , в _спокойствии_ чинном , и",и,и,в,т,с,й,S,СПОКОЙСТВИЕ,S n inan loc sg,Е
19871,,чинном,ЧИННЫЙ,A - loc sg plen m -,,,", в спокойствии _чинном_ , и ммм",м,о,н,н,и,ч,A,ЧИННЫЙ,A - gen sg plen m -,Й
19872,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19873,,и,И,CONJ,,,"спокойствии чинном , _и_ ммм дети на",и,,,,,,CONJ,И,CONJ,И
19874,,ммм,МММ,INTJ,,,"чинном , и _ммм_ дети на нее",м,м,м,,,,S,МММ,S n inan loc sg,М
19875,,дети,РЕБЕНОК,S m anim nom pl,,,", и ммм _дети_ на нее смотрят",и,т,е,д,,,S,РЕБЕНОК,S m anim nom pl,К
19876,,на,НА,PR,,,"и ммм дети _на_ нее смотрят ,",а,н,,,,,PR,НА,PR,А
19877,,нее,ОНА,SPRO sg 3p f acc,,,"ммм дети на _нее_ смотрят , вот",е,е,н,,,,SPRO,ОНА,SPRO sg 3p f acc,А
19878,,смотрят,СМОТРЕТЬ,V ipf praes pl indic - 3p,,,"дети на нее _смотрят_ , вот мол",т,я,р,т,о,м,V,СМОТРЕТЬ,V ipf praes pl indic - 3p,Ь
19879,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19880,,вот,ВОТ,PART,,,"нее смотрят , _вот_ мол да повезло",т,о,в,,,,PART,ВОТ,PART,Т
19881,,мол,МОЛ,PART,,,"смотрят , вот _мол_ да повезло тебе",л,о,м,,,,PART,МОЛ,PART,Л
19882,,да,ДА,PART,,,", вот мол _да_ повезло тебе ,",а,д,,,,,PART,ДА,PART,А
19883,,повезло,ПОВЕЗТИ,V pf praet sg indic n -,,,"вот мол да _повезло_ тебе , аж",о,л,з,е,в,о,V,ПОВЕЗТИ,V pf praet sg indic n -,И
19884,,тебе,ТЫ,SPRO sg 2p - dat,,,"мол да повезло _тебе_ , аж видела",е,б,е,т,,,SPRO,ТЫ,SPRO sg 2p - dat,Ы
19885,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19886,,аж,АЖ,PART,,,"повезло тебе , _аж_ видела белых и",ж,а,,,,,PART,АЖ,PART,Ж
19887,,видела,ВИДЕТЬ,V ipf praet sg indic f -,,,"тебе , аж _видела_ белых и ...",а,л,е,д,и,в,V,ВИДЕТЬ,V ipf praet sg indic f -,Ь
19888,,белых,БЕЛЫЙ,S - acc pl - anim,,,", аж видела _белых_ и ... и",х,ы,л,е,б,,A,БЕЛЫЙ,A - acc pl plen - anim,Й
19889,,и,И,CONJ,,,аж видела белых _и_ ... и разговаривала,и,,,,,,CONJ,И,CONJ,И
19890,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
19891,,и,И,CONJ,,,белых и ... _и_ разговаривала с белыми,и,,,,,,CONJ,И,CONJ,И
19892,,разговаривала,РАЗГОВАРИВАТЬ,V ipf praet sg indic m -,,,и ... и _разговаривала_ с белыми людьми,а,л,а,в,и,р,V,РАЗГОВАРИВАТЬ,V ipf praet sg indic f -,Ь
19893,,с,С,PR,,,... и разговаривала _с_ белыми людьми .,с,,,,,,PR,С,PR,С
19894,,белыми,БЕЛЫЙ,A - ins pl plen - -,,,и разговаривала с _белыми_ людьми .,и,м,ы,л,е,б,A,БЕЛЫЙ,A - ins pl plen - -,Й
19895,,людьми,ЧЕЛОВЕК,S m anim ins pl,,,разговаривала с белыми _людьми_ .,и,м,ь,д,ю,л,S,ЧЕЛОВЕК,S m anim ins pl,К
19896,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19897,,,,,,,,,,,,,,,,,
19898,# sent = 1444,,,,,,,,,,,,,,,,
19899,,То есть,То есть,CONJ,,,. _То есть_ вот я оказалась,ь,т,с,е,,о,CONJ,То есть,ADV -,ь
19900,,вот,ВОТ,PART,,,То есть _вот_ я оказалась в,т,о,в,,,,PART,ВОТ,PART,Т
19901,,я,Я,SPRO sg 1p - nom,,,То есть вот _я_ оказалась в эпицентре,я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
19902,,оказалась,ОКАЗАТЬСЯ,V pf praet sg indic n -,,,То есть вот я _оказалась_ в эпицентре таких,ь,с,а,л,а,з,V,ОКАЗАТЬСЯ,V pf praet sg indic f -,Я
19903,,в,В,PR,,,вот я оказалась _в_ эпицентре таких событий,в,,,,,,PR,В,PR,В
19904,,эпицентре,ЭПИЦЕНТР,S m inan loc sg,,,я оказалась в _эпицентре_ таких событий .,е,р,т,н,е,ц,S,ЭПИЦЕНТР,S m inan loc sg,Р
19905,,таких,ТАКОЙ,APRO - gen pl plen - -,,,оказалась в эпицентре _таких_ событий .,х,и,к,а,т,,APRO,ТАКОЙ,A - gen pl plen - -,Й
19906,,событий,СОБЫТИЕ,S n inan gen pl,,,в эпицентре таких _событий_ .,й,и,т,ы,б,о,S,СОБЫТИЕ,S n inan gen pl,Е
19907,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19908,,,,,,,,,,,,,,,,,
19909,# sent = 1445,,,,,,,,,,,,,,,,
19910,,Долго,ДОЛГО,ADV -,,,. _Долго_ мне еще говорить,о,г,л,о,д,,ADV,ДОЛГО,ADV -,О
19911,,мне,Я,SPRO sg 1p - dat,,,Долго _мне_ еще говорить ?,е,н,м,,,,SPRO,Я,SPRO sg 1p - dat,Я
19912,,еще,ЕЩЕ,ADV -,,,Долго мне _еще_ говорить ?,е,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
19913,,говорить,ГОВОРИТЬ,V ipf - - inf - -,,,Долго мне еще _говорить_ ?,ь,т,и,р,о,в,V,ГОВОРИТЬ,V ipf - - inf - -,Ь
19914,,?,?,PUNCT,,,,,,,,,,PUNCT,,,
19915,,,,,,,,,,,,,,,,,
19916,# sent = 1446,,,,,,,,,,,,,,,,
19917,"<span class=""note"">",,,,,,,,,,,,,,,,
19918,<note>,ну минутку бы,,,,,,,,,,,,,,,
19919,</span>,,,,,,,,,,,,,,,,
19920,,А,А,INTJ,,,"ну минутку бы _А_ , еще минуту",а,,,,,,INTJ,А,S - - nonflex -,А
19921,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19922,,еще,ЕЩЕ,ADV -,,,"А , _еще_ минуту рассказывать ?",е,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
19923,,минуту,МИНУТА,S f inan acc sg,,,"А , еще _минуту_ рассказывать ?",у,т,у,н,и,м,S,МИНУТА,S f inan acc sg,А
19924,,рассказывать,РАССКАЗЫВАТЬ,V ipf - - inf - -,,,", еще минуту _рассказывать_ ?",ь,т,а,в,ы,з,V,РАССКАЗЫВАТЬ,V ipf - - inf - -,Ь
19925,,?,?,PUNCT,,,,,,,,,,PUNCT,,,
19926,,,,,,,,,,,,,,,,,
19927,# sent = 1447,,,,,,,,,,,,,,,,
19928,"<distinct form=""",,,,,,,,,,,,,,,,
19929,<dist>,от,,,,,,,,,,,,,,,
19930,""">",,,,,,,,,,,,,,,,
19931,,вот,ВОТ,PART,,,"от _вот_ , ну",т,о,в,,,,PART,ВОТ,PART,Т
19932,</distinct>,,,,,,,,,,,,,,,,
19933,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19934,,ну,НУ,PART,,,"вот , _ну_ ладно , тогда",у,н,,,,,PART,НУ,PART,У
19935,,ладно,ЛАДНО,PART,,,", ну _ладно_ , тогда расскажу",о,н,д,а,л,,PART,ЛАДНО,PART,О
19936,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19937,,тогда,ТОГДА,ADV -,,,"ну ладно , _тогда_ расскажу про носорога",а,д,г,о,т,,ADV,ТОГДА,ADV -,А
19938,,расскажу,РАССКАЗАТЬ,V pf fut sg indic - 3p,,,"ладно , тогда _расскажу_ про носорога ,",у,ж,а,к,с,с,V,РАССКАЗАТЬ,V pf fut sg indic - 1p,Ь
19939,,про,ПРО,PR,,,", тогда расскажу _про_ носорога , потому что",о,р,п,,,,PR,ПРО,PR,О
19940,,носорога,НОСОРОГ,S m anim acc sg,,,"тогда расскажу про _носорога_ , потому что ,",а,г,о,р,о,с,S,НОСОРОГ,S m anim acc sg,Г
19941,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19942,,потому что,потому что,CONJ,,,"про носорога , _потому что_ , когда мы",о,т,ч,,у,м,CONJ,потому что,CONJ,о
19943,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19944,,когда,КОГДА,CONJ,,,", потому что , _когда_ мы подошли к",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
19945,,мы,МЫ,SPRO pl 1p - nom,,,"потому что , когда _мы_ подошли к носорогу",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
19946,,подошли,ПОДОСЛАТЬ,V pf fut sg indic - 1p,,,", когда мы _подошли_ к носорогу поближе",и,л,ш,о,д,о,V,ПОДОСЛАТЬ,V pf - sg imper - 2p,Ь
19947,,к,К,PR,,,"когда мы подошли _к_ носорогу поближе ,",к,,,,,,PR,К,PR,К
19948,,носорогу,НОСОРОГ,S m anim dat sg,,,"мы подошли к _носорогу_ поближе , обнаружилось",у,г,о,р,о,с,S,НОСОРОГ,S f inan acc sg,Г
19949,,поближе,БЛИЗКО,ADV comp2,,,"подошли к носорогу _поближе_ , обнаружилось ,",е,ж,и,л,б,о,ADV,БЛИЗКО,ADV comp,О
19950,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19951,,обнаружилось,ОБНАРУЖИТЬСЯ,V pf praet sg indic n -,,,"носорогу поближе , _обнаружилось_ , что это",ь,с,о,л,и,ж,V,ОБНАРУЖИТЬСЯ,V pf praet sg indic n -,Я
19952,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19953,,что,ЧТО,CONJ,,,", обнаружилось , _что_ это такая машина",о,т,ч,,,,CONJ,ЧТО,CONJ,О
19954,,это,ЭТО,SPRO n - nom sg,,,"обнаружилось , что _это_ такая машина просто",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
19955,,такая,ТАКОЙ,APRO - nom sg plen f -,,,", что это _такая_ машина просто страшная",я,а,к,а,т,,APRO,ТАКОЙ,A - nom sg plen f -,Й
19956,,машина,МАШИНА,S f inan nom sg,,,"что это такая _машина_ просто страшная ,",а,н,и,ш,а,м,S,МАШИНА,S f inan nom sg,А
19957,,просто,ПРОСТО,PART,,,"это такая машина _просто_ страшная , она",о,т,с,о,р,п,PART,ПРОСТО,PART,О
19958,,страшная,СТРАШНЫЙ,A - nom sg plen f -,,,"такая машина просто _страшная_ , она такая",я,а,н,ш,а,р,A,СТРАШНЫЙ,A - nom sg plen f -,Й
19959,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19960,,она,ОНА,SPRO sg 3p f nom,,,"просто страшная , _она_ такая , эта",а,н,о,,,,SPRO,ОНА,SPRO sg 3p f nom,А
